금별맥주,4.1,23,서울 서대문구 연세로11길 14 (우)03788,지번창천동 52-158,"['#데이트코스', '#레트로풍', '#소개팅', '#앤틱한', '#피맥', '#카카오페이', '#제로페이']",0,0,0,0,0
아웃백스테이크하우스 신촌점,4.1,72,서울 서대문구 연세로12길 33 (우)03776,지번창천동 2-6,"['#안심식당', '#카카오페이']",0,0,0,0,0
가장맛있는곱창 부추곱창 신촌점,3.7,49,서울 서대문구 연세로5가길 29 (우)03789,지번창천동 57-16,['#제로페이'],0,0,0,0,0
가례원,3.6,10,서울 서대문구 연세로5다길 12 (우)03789,지번창천동 62-13,"['#노포', '#제로페이']",0,0,0,0,0
술익는마을,3.4,19,서울 서대문구 연세로7길 22 (우)03788,지번창천동 52-66,"['#낮술하기좋은', '#데이트코스', '#민속주점', '#분위기좋은', '#제로페이']",0,0,0,0,0
군자대한곱창 신촌점,3.8,31,"서울 서대문구 연세로5나길 8 1,2층 (우)03789",지번창천동 57-23,"['#안심식당', '#제로페이']",0,0,0,0,0
춘천집닭갈비막국수,3.1,31,서울 서대문구 연세로5가길 1 (우)03789,지번창천동 57-8,"['#데이트코스', '#제로페이']",0,0,0,0,0
현명식탁,4.0,40,서울 서대문구 명물길 32 5층 (우)03777,지번창천동 13-2,"['#안심식당', '#데이트코스', '#소개팅', '#점심식사', '#친목모임', '#캐주얼한분위기', '#회식장소', '#제로페이']",0,0,0,0,0
유닭스토리 신촌점,3.4,37,서울 서대문구 연세로4길 7 1층 (우)03777,지번창천동 18-72,"['#안심식당', '#데이트코스', '#점심식사', '#친목모임', '#혼밥', '#회식장소', '#제로페이']",0,0,0,0,0
식탁 하늬솔점,2.7,22,서울 서대문구 성산로 527 하늬솔빌딩 1층 (우)03721,지번대신동 85-1,"['#데이트코스', '#친목모임', '#회식장소']",0,0,0,0,0
비밀,4.2,49,서울 서대문구 이화여대7길 48 경국빌딩 1층 101호 (우)03766,지번대현동 27-46,"['#비건베이커리', '#비건푸드', '#제로페이']",0,0,0,0,0
롤링파스타 신촌점,2.6,37,서울 서대문구 명물길 10 (우)03777,지번창천동 18-1,"['#안심식당', '#보드게임카페', '#혼밥', '#제로페이']",0,0,0,0,0
보승회관 신촌점,2.2,36,서울 서대문구 연세로5길 26 (우)03789,지번창천동 62-1,"['#혼밥', '#제로페이']",0,0,0,0,0
란주탕슉,3.2,83,서울 서대문구 이화여대2가길 18 (우)03767,지번대현동 53-20,['#제로페이'],0,0,0,0,0
포석정,4.0,29,서울 서대문구 연세로11길 25 (우)03788,지번창천동 52-157,['#제로페이'],0,0,0,0,0
와플잇업 이대2호점,4.3,55,서울 서대문구 이화여대3길 42-19 (우)03766,지번대현동 27-17,"['#데이트코스', '#와플카페']",0,0,0,0,0
연대포,3.8,20,서울 서대문구 연세로7길 26 (우)03788,지번창천동 52-71,"['#민속주점', '#카카오페이', '#제로페이']",0,0,0,0,0
