address,name,r_n_address,rate,rate_num,고기,한식,중식,양식,일식,카페,가족식사,친구랑,술자리,밥약,데이트,디저트,혼밥,분위기 있는,가성비,깨끗한,소개팅,뒷풀이,Column2,Column3,Column4,예약가능여부,tags,참고사항
서울 서대문구 연세로5다길 5 1층 (우)03789,담산 신촌본점,창천동 72-5,4.8,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,'etc',
서울 서대문구 이화여대길 52 이화여대캠퍼스 ECC 지하 4층 (우)03760,닥터로빈 이대점,대현동 11-1,4.4,8,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,,,,1,'etc',
서울 서대문구 신촌로11길 6 (우)03787,다성일식,창천동 72-36,3.6,12,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,0,"'#데이트코스', '#친목모임', '#코스요리', '#회식장소', '#제로페이'",
서울 서대문구 연세로7안길 4 (우)03788,돌아온김삿갓 신촌점,창천동 33-55,4.3,16,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,0,"'#친목모임', '#제로페이'",
서울 서대문구 연세로7안길 19 (우)03788,포차천국 신촌점,창천동 52-63,3.6,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로9길 22 (우)03788,신촌양꼬치,창천동 52-32,3.8,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#친목모임', '#회식장소', '#제로페이'",
서울 서대문구 연세로7안길 42 유림빌딩 1층 (우)03787,배바위양곱창,창천동 53-91,4.4,48,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,'#제로페이',
서울 서대문구 이화여대길 34 1~2층 (우)03767,티앙팡 오후에 홍차 1호점,대현동 54-4,3.9,39,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,,,,0,"'#앤틱한', '#제로페이'",
서울 서대문구 신촌역로 16 (우)03766,라멘81번옥 신촌점,대현동 27-20,0,12,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,,,,0,"'#안심식당', '#데이트코스', '#혼밥', '#제로페이'",
서울 서대문구 연세로7안길 18 (우)03788,김덕후의곱창조 신촌점,창천동 52-94,3.7,22,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,,,,0,'#제로페이',
서울 서대문구 연희로4길 10 이구삼동베이커리 반지하 (우)03784,리히트케이크,창천동 441,3.9,28,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,,,,0,'#수제케이크',
서울 서대문구 연세로5가길 21 (우)03789,어사출또 신촌점,창천동 57-33,2.7,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,0,'#안심식당',
서울 서대문구 연세로4길 42-3 (우)03777,칼,창천동 5-96,4.3,35,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,,,0,"'#데이트코스', '#분위기좋은', '#소개팅', '#제로페이'",
서울 서대문구 연세로5가길 3 2층 (우)03789,천궁전마라탕,창천동 57-7,3.1,30,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,,,,0,'#혼밥',
서울 서대문구 이화여대7길 16 2층 (우)03766,디델리 이대점,대현동 56-68,3.9,21,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,"'#안심식당', '#제로페이'",
서울 서대문구 명물길 24 1~5층 (우)03777,스타벅스 신촌명물거리점,창천동 13-19,4.1,23,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,,,,0,'#카카오페이',
서울 서대문구 연세로12길 37-3 2층 (우)03776,라플로레종,창천동 2-37,3.3,19,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,,,,0,"'#디저트카페', '#레터링케이크', '#수제케이크', '#케이크주문제작', '#제로페이'",
서울 서대문구 이화여대길 88-3 1층 (우)03765,솔리드웍스아이스크림,대현동 142-17,4.5,26,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,,,,0,'#제로페이',
서울 서대문구 연세로5나길 18 (우)03789,진미오향족발,창천동 57-14,4.2,10,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,0,"'#점심식사', '#회식장소', '#제로페이'",
서울 서대문구 이화여대3길 12 1층 (우)03766,삭 이대본점,대현동 56-33,3.7,46,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,'#제로페이',
서울 서대문구 연세로11길 13 2층 (우)03788,머노까머나 신촌점,창천동 52-25,3.7,28,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,,,,0,"'#이국적인', '#제로페이'",
서울 서대문구 연세로5가길 15 1층 (우)03789,지오짱생조개구이,창천동 57-19,4.8,15,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,,,0,"'#친목모임', '#제로페이'",
서울 서대문구 이화여대길 77-1 (우)03766,비아37,대현동 37-36,3.5,20,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,,,,0,"'#뇨끼맛집', '#분위기좋은', '#생면파스타', '#신촌맛집', '#이대맛집', '#데이트코스', '#소개팅', '#코스요리', '#제로페이'",
서울 서대문구 연세로5다길 39 (우)03787,아저씨네낙지찜 신촌점,창천동 72-29,3.8,17,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,,,0,"'#안심식당', '#노포', '#혼밥', '#제로페이'",
서울 서대문구 이화여대8길 2 301-나~302호 (우)03767,가미분식,대현동 54-1,3.1,14,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,,0,'etc',
서울 서대문구 신촌로 139-1 (우)03780,고피자 신촌1호점,대현동 104-58,3.7,15,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,,,,0,"'#안심식당', '#1인피자', '#데이트코스', '#혼밥', '#카카오페이', '#제로페이'",
